Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Lower,-0.010389,-0.15074,-0.22968,0,0,0,19.55,2.9384,2.71E-11,6.39E-11,2.9384,9.15E-11,4.5968,0,0,0,0,0,0,package://Stewart/meshes/Lower.STL,0.49412,0.49412,0.52549,1,0,0,0,0,0,0,package://Stewart/meshes/Lower.STL,,Lower-1/Lower.step-1/?????? 02.step-1,Lower,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
C1_1,0.13316,-0.072357,-0.012797,0,0,0,0.039475,1.02E-05,-2.06E-07,-7.67E-11,1.07E-05,-1.68E-10,1.06E-05,0,0,0,0,0,0,package://Stewart/meshes/C1_1.STL,0.49412,0.49412,0.52549,1,0,0,0,0,0,0,package://Stewart/meshes/C1_1.STL,,1of6-1/Link 2-1,C1_1,J1&2_L,J1_L,continuous,0.40602,-0.075625,-0.31782,1.8677,0,-1.5708,Lower,-1,0,0,,,,,,,,,,,,
V1,0.16591,0.14292,0.011473,0,0,0,0.66993,0.00041123,0.00096455,1.21E-15,0.014836,7.94E-17,0.015086,0,0,0,0,0,0,package://Stewart/meshes/V1.STL,0.49412,0.49412,0.52549,1,0,0,0,0,0,0,package://Stewart/meshes/V1.STL,,1of6-1/Vat_450-1,V1,J1_1,J1_1,revolute,0.038976,0.019698,-0.0013241,3.1416,0,1.1891,C1_1,0,0,-1,100,100,-1.57,1.57,,,,,,,,
P1,-0.09737,-0.097635,0.13488,0,0,0,0.054892,1.05E-06,-1.59E-10,-2.55E-09,0.0010739,-1.47E-12,0.0010739,0,0,0,0,0,0,package://Stewart/meshes/P1.STL,0.49412,0.49412,0.52549,1,0,0,0,0,0,0,package://Stewart/meshes/P1.STL,,1of6-1/Pole_450-1,P1,Cy1,Cy1,prismatic,0.5203,-0.011845,0.094844,-2.7218,0,0,V1,1,0,0,1000,100,-0.25,0.25,,,,,,,,
C2_1,-0.09765,0.16784,-0.084374,0,0,0,0.034924,8.07E-06,7.79E-19,-5.35E-21,9.48E-06,-1.70E-20,8.40E-06,0,0,0,0,0,0,package://Stewart/meshes/C2_1.STL,0.49412,0.49412,0.52549,1,0,0,0,0,0,0,package://Stewart/meshes/C2_1.STL,,1of6-1/Link 1-1,C2_1,J2_1,J2_1,revolute,0.24741,-0.013261,-0.01842,1.5708,1.1358,3.1416,P1,0,0,-1,100,100,-1.57,1.57,,,,,,,,
Upper,-0.081611,-0.10844,-0.35699,0,0,0,21.508,4.6524,-0.00019502,-0.00014635,4.6523,-0.00019478,5.9442,0,0,0,0,0,0,package://Stewart/meshes/Upper.STL,0.49412,0.49412,0.52549,1,0,0,0,0,0,0,package://Stewart/meshes/Upper.STL,,Upper-2/Upper.step-1/eBom-FreeParts.step-1;Upper-2/Upper.step-1/root.step-1/?????? 02_1.step-1,Upper,J6&1_U,J1_U,continuous,-0.031108,0.15944,0.39527,1.3323,0.51126,-0.11838,C2_1,-0.86603,-0.5,0,,,,,,,,,,,,
C1_2,-0.096319,-0.07985,0.0048174,0,0,0,0.039475,1.02E-05,-2.06E-07,-7.08E-11,1.07E-05,-1.67E-10,1.06E-05,0,0,0,0,0,0,package://Stewart/meshes/C1_2.STL,0.49412,0.49412,0.52549,1,0,0,0,0,0,0,package://Stewart/meshes/C1_2.STL,,1of6-2/Link 2-1,C1_2,J1&2_L,J2_L,continuous,0.41146,0.0036222,-0.30832,1.2738,0,1.5708,Lower,1,0,0,,,,,,,,,,,,
V2,0.069169,-0.063387,0.0025012,0,0,0,0.66993,0.00041123,0.00096455,1.93E-16,0.014836,2.11E-17,0.015086,0,0,0,0,0,0,package://Stewart/meshes/V2.STL,0.49412,0.49412,0.52549,1,0,0,0,0,0,0,package://Stewart/meshes/V2.STL,,1of6-2/Vat_450-1,V2,J1_2,J1_2,revolute,0.036023,0.026319,0.0073184,-3.1416,0,1.1991,C1_2,0,0,-1,100,100,-1.57,1.57,,,,,,,,
P2,-0.23137,0.068491,-0.081051,0,0,0,0.054892,1.05E-06,1.13E-10,2.58E-09,0.0010739,-1.16E-12,0.0010739,0,0,0,0,0,0,package://Stewart/meshes/P2.STL,0.49412,0.49412,0.52549,1,0,0,0,0,0,0,package://Stewart/meshes/P2.STL,,1of6-2/Pole_450-1,P2,Cy2,Cy2,prismatic,0.55483,-0.04494,-0.099551,2.7176,0,0,V2,1,0,0,1000,100,-0.25,0.25,,,,,,,,
C2_2,0.0019344,0.27073,-0.06849,0,0,0,0.034924,8.07E-06,8.20E-19,-5.40E-21,9.48E-06,3.39E-21,8.40E-06,0,0,0,0,0,0,package://Stewart/meshes/C2_2.STL,0.49412,0.49412,0.52549,1,0,0,0,0,0,0,package://Stewart/meshes/C2_2.STL,,1of6-2/Link 1-1,C2_2,J2_2,J2_2,revolute,0.24912,0,0.024272,-1.5708,-1.1399,-3.1416,P2,0,0,-1,100,100,-1.57,1.57,,,,,,,,
